id	orgName	note type=def	note type=Mariette	BNF_URL	data.bnf_URL	IdRéf_URL	VIAF_URL	Wikidata_URL
CoEg_org_00000001	Musée nationaux, direction des			https://catalogue.bnf.fr/ark:/12148/cb118639186	https://data.bnf.fr/ark:/12148/cb118639186	http://www.idref.fr/027551148	https://viaf.org/viaf/157729592	
CoEg_org_00000002	Musée du Louvre			https://catalogue.bnf.fr/ark:/12148/cb11865019j	https://data.bnf.fr/ark:/12148/cb11865019j	https://www.idref.fr/026394677	https://viaf.org/viaf/257711507	https://www.wikidata.org/wiki/Q19675
CoEg_org_00000003	Musée du Vatican			https://catalogue.bnf.fr/ark:/12148/cb123124629	https://data.bnf.fr/ark:/12148/cb123124629	https://www.idref.fr/03201418X	https://viaf.org/viaf/133520362/	https://www.wikidata.org/wiki/Q526381
CoEg_org_00000004	Institut de France			https://catalogue.bnf.fr/ark:/12148/cb11864390h	https://data.bnf.fr/ark:/12148/cb11864390h	https://www.idref.fr/027262065	https://viaf.org/viaf/135715107	https://www.wikidata.org/wiki/Q377066
CoEg_org_00000005	British Museum		Mariette emploie parfois « Musée britannique »	https://catalogue.bnf.fr/ark:/12148/cb11871460b	https://data.bnf.fr/ark:/12148/cb11871460b	https://www.idref.fr/026472309	https://viaf.org/viaf/134857252	https://www.wikidata.org/wiki/Q6373
CoEg_org_00000006	Consulat général de France à Alexandrie							https://www.wikidata.org/wiki/Q16507529
CoEg_org_00000007	Ministère français des Affaires étrangères					https://www.idref.fr/026382490	https://viaf.org/viaf/123164749	https://www.wikidata.org/wiki/Q789848
CoEg_org_00000008	Égypte	(en tant qu'État ; voir l'index géographique pour le territoire correspondant). Gouvernement et administration de l'Égypte		https://catalogue.bnf.fr/ark:/12148/cb11863530z	https://data.bnf.fr/ark:/12148/cb11863530z	https://www.idref.fr/026375680	https://viaf.org/viaf/144801546	https://www.wikidata.org/wiki/Q79
CoEg_org_00000009	Ministère français de l'Intérieur			https://catalogue.bnf.fr/ark:/12148/cb12470548z	https://data.bnf.fr/ark:/12148/cb12470548z	https://www.idref.fr/03389454X	https://viaf.org/viaf/148829604	https://www.wikidata.org/wiki/Q1518496
CoEg_org_00000010	Ministère français de la maison de l'empereur			https://catalogue.bnf.fr/ark:/12148/cb12132241v	https://data.bnf.fr/ark:/12148/cb12132241v	https://www.idref.fr/029769914	https://viaf.org/viaf/168298500	
CoEg_org_00000011	Beaux-Arts, administration française des	Cette administration fut successivement une direction du ministère de l'Intérieur (jusqu'en février 1853), puis une division du ministère d'État (1853-1863), une surintendance du ministère de la Maison de l'empereur (1863-1870) et une direction du ministère de l'Instruction publique (1870-1940)		https://catalogue.bnf.fr/ark:/12148/cb12238953d	https://data.bnf.fr/ark:/12148/cb12238953d	https://www.idref.fr/085882216	https://viaf.org/viaf/135816220	
CoEg_org_00000012	France	(en tant qu'État ; voir l'index géographique pour le territoire correspondant). Gouvernement et administration de la France		https://catalogue.bnf.fr/ark:/12148/cb11863754h	https://data.bnf.fr/ark:/12148/cb11863754h	https://www.idref.fr/026378329	https://viaf.org/viaf/149641640/	https://www.wikidata.org/wiki/Q1450662
CoEg_org_00000013	Armée égyptienne			https://catalogue.bnf.fr/ark:/12148/cb12049968j	https://data.bnf.fr/ark:/12148/cb12049968j	https://www.idref.fr/066913020		https://www.wikidata.org/wiki/Q1075553
CoEg_org_00000014	Royaume-Uni	(en tant qu'État ; voir l'index géographique pour le territoire correspondant). Gouvernement et administration du Royaume-Uni ; régulièrement appelé abusivement « Angleterre »		https://catalogue.bnf.fr/fr/11872746/grande-bretagne/	https://data.bnf.fr/fr/11872746/grande-bretagne/	https://www.idref.fr/026488515	https://viaf.org/viaf/127412899	https://www.wikidata.org/wiki/Q174193
